target,checkpoint,unit_count,pool_size,episodes,success_count,success_rate_percent,episode_return_mean,episode_return_std,progress_reward_mean,progress_reward_std,guidance_reward_mean,guidance_reward_std,episode_length_mean,episode_length_std
po_wall_tmasac,/home/brn/git/swarm-bots/runs/mjw_po_wall_medium_1024x1_tmasac/tmasac_lr=5e-5_bigger_mlps/2026-07-17_12-49-19/models/model_100000768_steps_final.pt,5,50,512,40,7.8125,5.798694162049131,4.445101126306283,6.664973523059403,4.227143985936001,-0.8662793226703798,0.3112421388988339,499.373046875,51.43024227440556
po_wall_tmasac,/home/brn/git/swarm-bots/runs/mjw_po_wall_medium_1024x1_tmasac/tmasac_lr=5e-5_bigger_mlps/2026-07-17_12-49-20/models/model_100000768_steps_final.pt,5,50,512,49,9.5703125,6.938985492122512,4.152234659265502,7.715488682335655,3.9724585749130177,-0.7765031505148272,0.2824358381168033,495.107421875,60.556486604787196
po_wall_tmasac,/home/brn/git/swarm-bots/runs/mjw_po_wall_medium_1024x1_tmasac/tmasac_lr=5e-5_bigger_mlps/2026-07-17_23-52-11/models/model_100000768_steps_final.pt,5,50,512,58,11.328125,6.857598057097086,4.563315833744637,7.562350875829934,4.377656794781754,-0.7047527594870644,0.28950592800905295,492.1953125,64.45190292402036
po_wall_tmasac,/home/brn/git/swarm-bots/runs/mjw_po_wall_medium_1024x1_tmasac/tmasac_lr=5e-5_bigger_mlps/2026-07-17_23-52-34/models/model_100000768_steps_final.pt,5,50,512,8,1.5625,2.6566225026625148,2.9868706661835613,3.9050256101599707,2.723539846495319,-1.248403147373665,0.32325763825129744,509.759765625,20.592846678399475
po_wall_tmasac,/home/brn/git/swarm-bots/runs/thesis_mjw_po_wall_medium/tmasac_baseline/2026-08-15_11-45-06/models/model_100000768_steps_final.pt,5,50,512,38,7.421875,5.675151949305359,4.306486260992512,6.592203956909456,4.032424495429714,-0.9170519790459366,0.34714219482577763,499.724609375,50.533601327519314
po_wall_tmasac,/home/brn/git/swarm-bots/runs/mjw_po_wall_medium_1024x1_tmasac/tmasac_lr=5e-5_bigger_mlps/2026-07-17_12-49-19/models/model_100000768_steps_final.pt,6,50,512,56,10.9375,6.592845761315644,4.790835940614177,7.369826156658377,4.592134224145489,-0.7769804916642897,0.2863269329762095,498.744140625,47.29655201867494
po_wall_tmasac,/home/brn/git/swarm-bots/runs/mjw_po_wall_medium_1024x1_tmasac/tmasac_lr=5e-5_bigger_mlps/2026-07-17_12-49-20/models/model_100000768_steps_final.pt,6,50,512,61,11.9140625,7.062616433270897,4.51598936953751,7.826571427183229,4.351972823392277,-0.7639551013504615,0.2508625595460561,495.751953125,53.847032656152955
po_wall_tmasac,/home/brn/git/swarm-bots/runs/mjw_po_wall_medium_1024x1_tmasac/tmasac_lr=5e-5_bigger_mlps/2026-07-17_23-52-11/models/model_100000768_steps_final.pt,6,50,512,55,10.7421875,6.891715768467937,4.435808916995573,7.59306726181567,4.287164459619508,-0.7013515861505084,0.243579641459907,498.689453125,46.45918956475057
po_wall_tmasac,/home/brn/git/swarm-bots/runs/mjw_po_wall_medium_1024x1_tmasac/tmasac_lr=5e-5_bigger_mlps/2026-07-17_23-52-34/models/model_100000768_steps_final.pt,6,50,512,7,1.3671875,2.8694974821497112,2.837425380574031,4.087457317643852,2.5923277320345695,-1.2179599859621248,0.30394039574458787,511.087890625,9.811807790261543
po_wall_tmasac,/home/brn/git/swarm-bots/runs/thesis_mjw_po_wall_medium/tmasac_baseline/2026-08-15_11-45-06/models/model_100000768_steps_final.pt,6,50,512,44,8.59375,6.107433480883252,4.240650876009072,6.957725388463089,4.024610528794704,-0.8502920181426816,0.30044404910935346,499.2890625,49.13229944874445
po_wall_tmasac,/home/brn/git/swarm-bots/runs/mjw_po_wall_medium_1024x1_tmasac/tmasac_lr=5e-5_bigger_mlps/2026-07-17_12-49-19/models/model_100000768_steps_final.pt,7,50,512,34,6.640625,6.251591111051461,4.223416062061995,6.9919374417389415,4.059644273986948,-0.7403463071993315,0.2489235834839055,504.419921875,34.533066038130706
po_wall_tmasac,/home/brn/git/swarm-bots/runs/mjw_po_wall_medium_1024x1_tmasac/tmasac_lr=5e-5_bigger_mlps/2026-07-17_12-49-20/models/model_100000768_steps_final.pt,7,50,512,36,7.03125,6.9221170090213455,3.8633597046914123,7.648232591567179,3.7114950784355236,-0.7261155597556126,0.23642349828898765,500.61328125,47.92192196540534
po_wall_tmasac,/home/brn/git/swarm-bots/runs/mjw_po_wall_medium_1024x1_tmasac/tmasac_lr=5e-5_bigger_mlps/2026-07-17_23-52-11/models/model_100000768_steps_final.pt,7,50,512,37,7.2265625,6.565269634446729,3.9404486001184162,7.234257167279856,3.8253799768964765,-0.6689874900075097,0.21040755761743038,505.197265625,31.99124258134081
po_wall_tmasac,/home/brn/git/swarm-bots/runs/mjw_po_wall_medium_1024x1_tmasac/tmasac_lr=5e-5_bigger_mlps/2026-07-17_23-52-34/models/model_100000768_steps_final.pt,7,50,512,3,0.5859375,2.9929972121487722,2.483523095503264,4.172367971599255,2.243972117842097,-1.1793708600598052,0.2922513246516203,510.884765625,14.564525152363133
